Influenza Virological Surveillance -> Guest user -> Number of influenza viruses detected -> A(H1N1)pdm09
"(Periodicity: Week, Applied Time Period: from 1/2009 to 53/2010)"
,2009 week: 1,2009 week: 2,2009 week: 3,2009 week: 4,2009 week: 5,2009 week: 6,2009 week: 7,2009 week: 8,2009 week: 9,2009 week: 10,2009 week: 11,2009 week: 12,2009 week: 13,2009 week: 14,2009 week: 15,2009 week: 16,2009 week: 17,2009 week: 18,2009 week: 19,2009 week: 20,2009 week: 21,2009 week: 22,2009 week: 23,2009 week: 24,2009 week: 25,2009 week: 26,2009 week: 27,2009 week: 28,2009 week: 29,2009 week: 30,2009 week: 31,2009 week: 32,2009 week: 33,2009 week: 34,2009 week: 35,2009 week: 36,2009 week: 37,2009 week: 38,2009 week: 39,2009 week: 40,2009 week: 41,2009 week: 42,2009 week: 43,2009 week: 44,2009 week: 45,2009 week: 46,2009 week: 47,2009 week: 48,2009 week: 49,2009 week: 50,2009 week: 51,2009 week: 52,2009 week: 53,2010 week: 1,2010 week: 2,2010 week: 3,2010 week: 4,2010 week: 5,2010 week: 6,2010 week: 7,2010 week: 8,2010 week: 9,2010 week: 10,2010 week: 11,2010 week: 12,2010 week: 13,2010 week: 14,2010 week: 15,2010 week: 16,2010 week: 17,2010 week: 18,2010 week: 19,2010 week: 20,2010 week: 21,2010 week: 22,2010 week: 23,2010 week: 24,2010 week: 25,2010 week: 26,2010 week: 27,2010 week: 28,2010 week: 29,2010 week: 30,2010 week: 31,2010 week: 32,2010 week: 33,2010 week: 34,2010 week: 35,2010 week: 36,2010 week: 37,2010 week: 38,2010 week: 39,2010 week: 40,2010 week: 41,2010 week: 42,2010 week: 43,2010 week: 44,2010 week: 45,2010 week: 46,2010 week: 47,2010 week: 48,2010 week: 49,2010 week: 50,2010 week: 51,2010 week: 52
Iran (Islamic Republic of),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,43,68,32,11,"=T("" "")",60,27,35,16,18,25,209,433,532,546,524,386,632,210,266,124,76,49,"=T("" "")",27,17,5,3,8,1,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,11,70,96
Iraq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,4,1,0,0,0,0,0,0,0,0,0,3,0,26,360,458,0,498,191,102,16,7,13,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
Ireland,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,0,2,0,0,0,9,12,0,16,23,49,53,49,153,145,96,118,91,68,56,106,194,204,225,213,439,574,430,311,255,225,117,64,41,40,20,16,23,8,4,8,4,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,1,12,43,142,329
Israel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,21,18,44,163,168,217,139,296,343,485,290,249,225,196,197,167,194,146,197,171,108,161,313,324,569,415,428,328,234,147,109,48,54,25,16,12,13,6,4,2,5,1,1,0,0,0,0,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,0,1,0,1,1,0,0,1,3,11,26,36
Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,16,11,22,21,18,35,47,67,302,584,253,95,63,80,61,129,67,55,99,109,132,104,342,885,"1,594","2,313",947,396,335,111,51,15,5,45,34,57,28,4,5,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,3,3,0,4,8,17
Jamaica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,2,12,11,8,10,13,5,2,5,6,1,2,0,11,0,7,8,13,4,16,4,14,6,6,8,0,2,0,1,1,"=T("" "")",2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,142,150,32,54,149,209,247,394,782,"1,116","1,011",748,"1,053","1,122","1,512","1,001",595,519,717,475,754,997,"1,027","1,399","1,655","1,431","1,554","1,573","1,399","1,424","1,284","1,019",604,174,503,479,541,407,342,262,251,167,99,77,47,17,18,17,25,18,9,7,19,19,13,6,9,7,2,6,10,7,4,2,10,12,4,6,8,23,8,14,7,16,9,16,10,19,12,26,32,44,139,189,269,173
Jordan,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,0,0,0,1,0,1
Kazakhstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,0,0,0,0,0,0,0,0,0,0,0,"=T("" "")",0,0,0,0,"=T("" "")",0,0,0,"=T("" "")",0,0,"=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,0,0,0,0,0
Kenya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,4,4,2,6,18,20,22,13,11,23,67,32,76,76,57,55,60,62,81,54,21,15,25,1,0,0,2,5,1,2,3,1,1,2,2,6,3,4,1,3,0,0,0,0,0,0,0,0,0,1,6,4,3,6,8,13,1,2,2,2,2,1,1,2,0,3,5,6,8,5,11,14,3,16,5,12,12,0
Kyrgyzstan,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,1,0,1,"=T("" "")",0,0,21,53,51,44,17,10,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"=T("" "")",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lao People's Democratic Republic,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",1,6,8,4,0,1,0,2,1
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"=T("" "")",0,0,0,"=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,0,"=T("" "")",3,4,2,7,0,4,0,4,0,2,1,0,0,0,0,2,5,52,297,271,33,42,57,48,36,36,37,11,12,7,20,7,5,1,0,2,1,0,0,0,0,0,0,0,0,0,"=T("" "")",0,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,"=T("" "")",0,"=T("" "")",0,0,0,0,0,0,0,0,0,0,1,3,11,13
Lithuania,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",11,8,6,0,3,0,"=T("" "")",0,0,1,2,1,"=T("" "")",48,57,101,188,"=T("" "")",67,35,37,27,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6,16
Luxembourg,0,0,0,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,0,0,0,0,0,0,0,0,0,1,2,8,15,16,14,25,17,7,13,27,18,43,72,75,96,83,50,185,112,60,78,64,45,"=T("" "")",36,18,"=T("" "")",12,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,1,1,2,0,"=T("" "")",2,0,0,0,1,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,0,0,0,0,0,0,0,0,1,1,7,3,11
Madagascar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,12,131,89,157,123,80,91,68,61,47,29,22,6,15,16,13,5,4,3,8,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,2,0,1,0,0,2,1,0,0,0,0,0,0,1,1,1,1,0,0,0
Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,3,0,1,0,0,0,0,3,4,10,30,66,61,64,20,12,6,6,2,2,0,0,12,7,9,8,0,2,3,1,0,0,0,0,3,2,0,3,1,0,2,2,2,1,3,4,3,21,6,4,1,1,2,3,1,0,0,0,2,3,2,1,4,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,7,8,0
Mali,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",1,0,4,3,7,5,6,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,0,2,0,0,0,0,1,0,0,0,2,0
Malta,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,0,0,0,0,0,0,0,0,"=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,0,0,0,0,0,0,0,3,"=T("" "")",0,8,16,0,"=T("" "")",0,0,"=T("" "")",0,0,0,0,0,0,0,0,0,0,"=T("" "")",0,"=T("" "")",0,0,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",2,12,22
Martinique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,5,15,20,16,4,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,"=T("" "")","=T("" "")","=T("" "")",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,"=T("" "")","=T("" "")",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,11,13,0,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,0,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")"
Mauritius,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",4,12,"=T("" "")",8,"=T("" "")","=T("" "")",0,"=T("" "")","=T("" "")",0,0,"=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,"=T("" "")","=T("" "")"
Mexico,0,0,0,0,0,1,3,0,2,2,7,15,26,55,38,146,"1,243","2,029","1,403",827,546,485,"1,040","1,498","1,613","2,335","1,973","1,648","1,275","1,211","1,119",713,862,"1,053","1,376","2,611","4,306","4,530","5,988","5,813","4,863","4,400","3,594","2,271","1,944","1,487","1,060",656,625,381,274,288,287,260,203,246,214,216,210,207,218,260,206,123,106,45,30,30,12,12,7,4,2,6,5,0,1,3,0,1,2,2,0,0,1,3,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,2,3,5,1
Mongolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,132,355,306,292,55,55,34,23,17,28,14,"=T("" "")",8,23,23,28,37,6,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",3,6,8,4,1,10,14,21,12,14,25,6,0,4,0,0,0,0,1,54,162,87,130,177,233,241,232,123,101,45,128,52,10,2,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,0,0,0,0,0,0,1,0,2,1,0,3,3,18
Mozambique,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")"
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,19,44,41,19,19,15,97,196,478,455,33,49,35,23,23,17,14,38,46,67,145,220,216,210,93,59,34,21,6,3,3,3,0,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,15,9,33
New Caledonia,0,0,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,2,17,21,14,33,61,91,89,90,48,"=T("" "")","=T("" "")",1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
New Zealand,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,0,0,0,0,0,0,13,27,63,303,181,152,86,63,35,11,11,3,3,4,2,2,0,1,0,0,1,0,1,0,0,"=T("" "")","=T("" "")",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,12,7,5,18,40,37,38,17,27,6,0,5,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")"
Nicaragua,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",1,0,0,0,2,1,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niger,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,10,7,5,5,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",7,0,1,4,5,4,5,6,7,13,4,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,"=T("" "")",0,1,1,0,0,0,0,0,0,0,0
Norway,0,0,0,0,0,0,0,0,0,0,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,0,0,2,2,1,3,2,3,6,"=T("" "")","=T("" "")",21,120,193,108,83,54,56,62,81,72,75,85,70,108,180,520,889,"1,403","1,142",470,410,245,92,43,12,10,7,3,1,0,0,1,0,7,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,3,3,7,16,27,22
Oman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",28,16,16,28,19,29,21,10,2,2,3,0,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,3,1,5,10,1,6,7,11,11,4,7,3,5,7,15,2,4,12,1,9,16,5,10,25,"=T("" "")"
