T_Y,Y_M,Country,Cases
102,2013-6,中國大陸(Mainland China),247929
102,2013-7,中國大陸(Mainland China),284747
102,2013-8,中國大陸(Mainland China),283375
102,2013-9,中國大陸(Mainland China),271078
102,2013-10,中國大陸(Mainland China),300871
102,2013-11,中國大陸(Mainland China),258093
102,2013-12,中國大陸(Mainland China),235186
103,2014-1,中國大陸(Mainland China),198382
103,2014-2,中國大陸(Mainland China),279792
103,2014-3,中國大陸(Mainland China),241546
103,2014-4,中國大陸(Mainland China),275713
103,2014-5,中國大陸(Mainland China),282707
103,2014-6,中國大陸(Mainland China),302067
103,2014-7,中國大陸(Mainland China),312254
103,2014-8,中國大陸(Mainland China),296364
103,2014-9,中國大陸(Mainland China),269049
103,2014-10,中國大陸(Mainland China),302986
103,2014-11,中國大陸(Mainland China),248285
103,2014-12,中國大陸(Mainland China),258093
104,2015-1,中國大陸(Mainland China),240112
104,2015-2,中國大陸(Mainland China),230305
104,2015-3,中國大陸(Mainland China),297043
104,2015-4,中國大陸(Mainland China),295645
104,2015-5,中國大陸(Mainland China),297885
104,2015-6,中國大陸(Mainland China),294294
104,2015-7,中國大陸(Mainland China),315481
104,2015-8,中國大陸(Mainland China),299750
104,2015-9,中國大陸(Mainland China),271600
104,2015-10,中國大陸(Mainland China),318599
104,2015-11,中國大陸(Mainland China),286248
104,2015-12,中國大陸(Mainland China),256958
105,2016-1,中國大陸(Mainland China),241113
105,2016-2,中國大陸(Mainland China),298798
105,2016-3,中國大陸(Mainland China),270766
105,2016-4,中國大陸(Mainland China),306441
105,2016-5,中國大陸(Mainland China),315102
105,2016-6,中國大陸(Mainland China),321257
105,2016-7,中國大陸(Mainland China),346297
105,2016-8,中國大陸(Mainland China),331005
105,2016-9,中國大陸(Mainland China),312406
105,2016-10,中國大陸(Mainland China),345004
105,2016-11,中國大陸(Mainland China),312770
105,2016-12,中國大陸(Mainland China),284518
106,2017-1,中國大陸(Mainland China),244084
106,2017-2,中國大陸(Mainland China),328059
106,2017-3,中國大陸(Mainland China),306038
106,2017-4,中國大陸(Mainland China),341117
106,2017-5,中國大陸(Mainland China),348528
106,2017-6,中國大陸(Mainland China),353085
106,2017-7,中國大陸(Mainland China),362466
106,2017-8,中國大陸(Mainland China),347289
106,2017-9,中國大陸(Mainland China),302646
106,2017-10,中國大陸(Mainland China),363094
97,2008-1,澳門(Macao),69871
97,2008-2,澳門(Macao),95056
97,2008-3,澳門(Macao),85057
97,2008-4,澳門(Macao),99568
97,2008-5,澳門(Macao),85157
97,2008-6,澳門(Macao),78382
97,2008-7,澳門(Macao),77167
97,2008-8,澳門(Macao),73604
97,2008-9,澳門(Macao),65419
97,2008-10,澳門(Macao),75957
97,2008-11,澳門(Macao),61787
97,2008-12,澳門(Macao),59568
98,2009-1,澳門(Macao),53111
98,2009-2,澳門(Macao),64553
98,2009-3,澳門(Macao),69527
98,2009-4,澳門(Macao),70257
98,2009-5,澳門(Macao),55422
98,2009-6,澳門(Macao),52098
98,2009-7,澳門(Macao),68932
98,2009-8,澳門(Macao),70430
98,2009-9,澳門(Macao),51663
98,2009-10,澳門(Macao),62155
98,2009-11,澳門(Macao),61226
98,2009-12,澳門(Macao),59889
99,2010-1,澳門(Macao),58339
99,2010-2,澳門(Macao),56416
99,2010-3,澳門(Macao),60801
99,2010-4,澳門(Macao),59552
99,2010-5,澳門(Macao),55260
99,2010-6,澳門(Macao),57289
99,2010-7,澳門(Macao),61573
99,2010-8,澳門(Macao),56882
99,2010-9,澳門(Macao),51637
99,2010-10,澳門(Macao),51773
99,2010-11,澳門(Macao),47571
99,2010-12,澳門(Macao),50817
100,2011-1,澳門(Macao),39451
100,2011-2,澳門(Macao),48772
100,2011-3,澳門(Macao),45740
100,2011-4,澳門(Macao),53402
100,2011-5,澳門(Macao),50145
100,2011-6,澳門(Macao),55290
100,2011-7,澳門(Macao),59605
100,2011-8,澳門(Macao),55567
100,2011-9,澳門(Macao),48903
100,2011-10,澳門(Macao),47524
100,2011-11,澳門(Macao),42806
100,2011-12,澳門(Macao),40428
101,2012-1,澳門(Macao),39986
101,2012-2,澳門(Macao),40875
101,2012-3,澳門(Macao),38428
101,2012-4,澳門(Macao),41305
101,2012-5,澳門(Macao),39191
101,2012-6,澳門(Macao),43831
101,2012-7,澳門(Macao),54450
101,2012-8,澳門(Macao),52239
101,2012-9,澳門(Macao),47937
101,2012-10,澳門(Macao),45955
101,2012-11,澳門(Macao),39890
101,2012-12,澳門(Macao),42963
102,2013-1,澳門(Macao),36624
102,2013-2,澳門(Macao),45579
102,2013-3,澳門(Macao),38616
102,2013-4,澳門(Macao),40397
102,2013-5,澳門(Macao),30785
102,2013-6,澳門(Macao),39409
102,2013-7,澳門(Macao),46145
102,2013-8,澳門(Macao),52595
