年份(Years),月份(Months),亞洲總計(Asia Total),香港(Hong Kong),中國大陸(Mainland China),澳門(Macao),日本(Japan),韓國(Korea),印度(India),越南(Vietnam),泰國(Thailand),馬來西亞(Malaysia),新加坡(Singapore),菲律賓(Philippines),汶萊(Brunei),印尼(Indonesia),柬埔寨(Cambodia),寮國(Laos),緬甸(Myanmar),斯里蘭卡(Sri Lanka),不丹(Bhutan),尼泊爾(Nepal),孟加拉(Bangladesh),巴基斯坦(Pakistan),蒙古(Mongolia),東帝汶(Timor),索羅門群島(Solomon Islands),馬爾地夫(Maldives),賽席爾(Seychelles),吉里巴斯(Kiribati),伊朗(Iran),伊拉克(Iraq),沙烏地阿拉伯(Saudi Arabia),科威特(Kuwait),以色列(Israel),約旦(Jordan),敘利亞(Syria),黎巴嫩(Lebanon),阿拉伯聯合大公國(United Arab Emirates),葉門(Yemen),土耳其(Turkey),賽普勒斯(Cyprus),阿富汗(Afghanistan),美洲總計(Americas Total),美國(United States of America),加拿大(Canada),墨西哥(Mexico),巴西(Brazil),阿根廷(Argentina),巴拿馬(Panama),哥斯大黎加(Costa Rica),多明尼加(Dominican Rep.),瓜地馬拉(Guatemala),宏都拉斯(Honduras),海地(Haiti),尼加拉瓜(Nicaragua),薩爾瓦多(El Salvador),貝里斯(Belize),聖露西亞(Saint Lucia),智利(Chile),委內瑞拉(Venezuela),玻利維亞(Bolivia),哥倫比亞(Colombia),厄瓜多爾(Ecuador),圭亞馬(Guaymas),巴拉圭(Paraguay),秘魯(Peru),烏拉圭(Uruguay), 歐洲總計(Europe Total),比利時(Belgium),法國(France),德國(Germany),義大利(Italy),荷蘭(Netherlands),英國(U.K.),西班牙(Spain),瑞典(Sweden),瑞士(Switzerland),奧地利(Austria),希臘(Greece),俄羅斯(Russian Federation),挪威(Norway),丹麥(Denmark),愛爾蘭(Ireland),冰島(Iceland),葡萄牙(Portugal),芬蘭(Finland),烏克蘭(Ukraine),克羅埃西亞(Croatia),愛沙尼亞(Estonia),立陶宛(Lithuania),拉脫維亞(Lativia),斯洛凡尼亞(Slovenia),斯洛伐克(Slovakia),波蘭(Poland),捷克(Czech),匈牙利(Hungary),羅馬尼亞(Romania),保加利亞(Bulgaria),大洋洲總計(Oceania Total),澳大利亞(Australia),紐西蘭(New Zealand),斐濟(Fiji),諾魯(Nauru),帛琉(Palau),馬紹爾(Marshall),非洲總計(Africa Total),南非(S. Africa),埃及(Egypt),摩洛哥(Morocco),阿爾及利亞(Algeria),突尼西亞(Tunisia),肯亞(Kenya),奈及利亞(Nigeria),模里西斯(Mauritius),史瓦濟蘭(Swaziland),小計(Subtotals),總計(Totals)
97 (2008),1,"548,240","216,776",374,"69,871","104,753","42,596","1,705","22,308","26,653","13,570","16,645","9,111",88,"15,714","6,049",0,"1,497",0,2,0,0,0,0,1,0,0,0,0,359,0,0,6,95,0,0,0,3,0,0,0,60,"60,422","54,700","5,722",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"17,383",0,0,"2,390","1,264","8,119","3,385",0,0,0,"2,225",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,386","6,824","2,394",0,0,"2,168",0,0,0,0,0,0,0,0,0,0,0,"1,274,858","662,847"
97 (2008),2,"665,104","259,884","14,537","95,056","110,058","43,280","1,909","28,883","32,886","16,044","17,901","12,293",365,"20,411","8,582",0,"1,142",0,"1,539",0,0,0,0,0,0,0,0,0,0,0,0,163,0,0,0,0,1,0,157,0,13,"46,218","41,918","4,300",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"19,688",0,335,"3,783","1,175","8,171","3,716",0,0,0,"2,501",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12,020","7,241","2,026",0,0,"2,753",0,0,0,0,0,0,0,0,0,0,0,"1,486,059","776,687"
97 (2008),3,"559,507","228,301",0,"85,057","92,266","35,240","1,341","25,733","31,086","12,951","12,955","8,301",0,"16,776","7,572",0,"1,312",0,102,0,0,0,0,76,0,0,0,0,0,65,0,3,215,0,0,0,1,0,0,6,148,"48,615","43,628","4,987",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"18,875",0,0,"3,367","1,123","8,087","3,190",0,0,0,"3,108",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,091","5,329","1,023",0,0,"1,739",0,38,38,0,0,0,0,0,0,0,0,"1,270,252","663,305"
97 (2008),4,"647,556","258,031","2,370","99,568","129,430","37,234","1,212","26,861","33,977","12,674","12,951","8,658",0,"15,493","6,342",68,"1,437",93,713,0,0,0,0,45,0,0,0,0,0,0,1,7,349,0,0,0,1,0,41,0,0,"52,624","46,065","6,559",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"20,119",0,0,"2,784","1,284","9,391","3,666",0,0,0,"2,994",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,495","5,124","1,401",0,0,"1,970",0,0,0,0,0,0,0,0,0,0,0,"1,457,588","769,832"
97 (2008),5,"611,833","255,719",37,"85,157","124,440","27,733",850,"28,226","33,896","13,087","12,414","8,649",1,"16,737","4,122",61,536,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3,149,0,0,0,1,0,0,0,0,"50,868","45,119","5,749",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"21,652",0,0,"3,378","1,355","9,622","3,308",0,0,0,"3,988",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,157","5,073","1,362",0,0,722,0,0,0,0,0,0,0,0,0,0,0,"1,383,019","733,000"
97 (2008),6,"598,194","251,685","2,999","78,382","119,692","25,349",774,"25,107","33,497","16,055","13,426","10,142",150,"17,132","2,656",63,383,0,529,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,166,"56,485","49,530","6,955",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"21,257",0,0,"2,581","1,764","11,033","2,636",0,0,0,"3,243",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,830","5,265",650,0,0,915,0,0,0,0,0,0,0,0,0,0,0,"1,365,532","726,563"
97 (2008),7,"684,286","274,405","21,949","77,167","143,940","31,254","1,192","26,275","37,572","17,081","19,205","12,942",168,"17,045","2,292",130,780,0,149,0,0,0,0,403,0,0,0,23,0,0,0,3,0,0,0,0,0,0,0,0,311,"59,041","52,247","6,794",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"22,311",0,0,"3,322","1,288","10,197","4,155",0,0,0,"3,323",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,017","5,614","1,131",0,0,"1,272",0,0,0,0,0,0,0,0,0,0,0,"1,547,284","838,607"
97 (2008),8,"605,077","250,006","28,335","73,604","110,875","24,702","1,154","21,563","32,195","16,624","15,155","11,068",0,"14,528","3,009",528,745,0,547,0,0,0,0,1,0,0,0,0,0,433,0,4,0,0,0,0,1,0,0,0,0,"58,305","50,293","8,012",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"18,850",0,0,"3,349",954,"8,215","3,599",0,0,169,"2,564",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,420","4,310",745,0,0,"1,365",0,0,0,0,0,0,0,0,0,0,0,"1,377,304","761,432"
97 (2008),9,"522,627","220,795","25,663","65,419","93,112","19,618","1,419","19,886","25,035","11,200","12,156","8,940",63,"14,874","2,472",365,460,0,342,0,0,0,0,383,0,0,0,0,0,190,0,5,0,0,0,0,1,0,0,94,135,"45,345","39,703","5,642",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"22,020",0,0,"4,457","1,286","9,405","3,691",0,0,0,"3,180",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,332","4,796",0,0,0,536,0,2,0,0,0,0,0,0,2,0,0,"1,190,651","657,988"
97 (2008),10,"590,938","253,255","26,310","75,957","117,002","25,598",916,"19,975","20,084","10,532","12,615","9,594",306,"14,596","2,284",255,725,0,605,0,0,0,0,32,0,0,0,0,0,40,0,7,4,0,0,141,1,0,0,0,105,"37,194","33,123","4,071",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"17,834",0,107,"3,610","1,133","6,740","2,825",0,0,0,"3,419",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,524","5,529",0,0,0,967,0,0,0,0,0,0,0,0,0,0,0,"1,304,953","732,191"
97 (2008),11,"475,881","199,105","22,575","61,787","91,480","21,811",810,"19,966","15,874","8,766","11,144","7,422",63,"11,041","2,566",0,712,0,112,0,0,0,0,0,0,0,0,0,0,249,0,0,0,0,0,0,1,0,0,0,238,"33,880","30,936","2,944",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"13,685",0,0,"3,203","1,036","4,647","2,659",0,0,0,"2,140",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,833","5,213",0,0,0,620,0,0,0,0,0,0,0,0,0,0,0,"1,058,399","583,775"
97 (2008),12,"463,800","183,208","43,595","59,568","72,799","28,707",974,"20,480","10,242","9,066","10,912","7,035",29,"11,770","3,534",0,879,0,"1,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,"31,986","28,328","3,658",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"11,349",0,0,"1,981",994,"4,694","2,284",0,0,0,"1,395",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"7,116","6,225",0,0,0,891,0,0,0,0,0,0,0,0,0,0,0,"1,028,502","558,945"
98 (2009),1,"548,279","175,264","62,464","53,111","105,882","38,172","1,184","24,132","21,385","14,033","16,836","12,223",76,"16,316","5,463",0,951,0,174,0,0,0,0,291,0,0,0,0,0,5,54,11,0,8,0,0,0,0,0,1,243,"49,814","43,621","6,193",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"18,959",0,"1,347","3,228",821,"7,175","3,985",0,0,308,"2,094",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,426","9,534",1,0,0,891,0,0,0,0,0,0,0,0,0,0,0,"1,254,955","674,519"
98 (2009),2,"519,826","201,180","77,591","64,553","64,257","31,002","1,120","22,003","14,545","9,251","11,225","7,254",0,"10,851","3,958",0,708,240,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"28,702","25,675","3,027",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"13,834",0,"1,519","2,534",584,"5,084","2,714",0,0,0,"1,399",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,556","8,518",0,0,0,"1,008",0,0,0,0,0,0,0,0,0,0,0,"1,143,806","618,982"
98 (2009),3,"513,741","177,558","70,080","69,527","80,235","27,854",779,"22,079","20,219","9,760","10,324","6,463",0,"13,160","4,320",0,861,204,236,0,0,0,0,64,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17,"32,802","27,906","4,896",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"20,985",0,"2,223","3,349","1,233","7,413","3,760",0,0,0,"3,007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,373","7,095",0,0,0,"1,278",0,0,0,0,0,0,0,0,0,0,0,"1,151,802","620,797"
98 (2009),4,"624,813","209,572","118,464","70,257","96,453","41,274",739,"22,118","22,082","10,421","10,352","6,420",1,"12,429","3,204",0,648,0,372,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,"34,295","29,285","5,006",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"21,831",0,"2,182","2,411",920,"8,386","4,514",0,0,0,"3,418",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,300","10,611",0,0,0,689,0,0,0,0,0,0,0,0,0,0,0,"1,384,476","695,011"
98 (2009),5,"569,612","188,605","116,050","55,422","80,382","34,115","1,170","20,953","21,558","11,674","10,351","8,634",0,"14,580","3,282",0,"1,223",0,"1,384",0,0,0,0,0,0,0,0,0,0,0,0,227,0,0,0,0,2,0,0,0,0,"35,236","29,945","5,280",0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"20,917",0,"2,488","2,682",837,"7,176","4,702",0,0,0,"3,032",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,173","8,299",0,0,0,874,0,2,0,0,0,0,0,0,0,0,0,"1,269,878","635,635"
98 (2009),6,"526,410","171,663","113,513","52,098","75,108","27,795",816,"18,795","17,514","12,101","11,766","7,657",0,"13,460","2,691",0,940,0,492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"38,363","32,989","5,356",0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"18,806",0,"2,054","2,713",895,"6,052","4,300",0,0,0,"2,790",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,582","6,521",0,0,0,"1,061",0,0,0,0,0,0,0,0,0,0,0,"1,182,320","591,187"
98 (2009),7,"718,207","225,279","141,198","68,932","129,299","35,420","1,127","26,017","21,334","20,322","16,217","10,111",2,"17,403","3,855",0,898,0,496,183,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25,0,0,88,0,"42,363","35,892","6,448",0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"23,725",0,"2,206","2,586",891,"9,173","5,251",0,0,0,"3,617",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,594","8,474",0,0,0,"1,112",8,0,0,0,0,0,0,0,0,0,0,"1,587,777","794,198"
98 (2009),8,"736,121","236,981","134,944","70,430","130,359","40,131","1,068","23,563","27,902","21,299","15,484","11,544",1,"16,301","3,897",17,928,0,"1,032",0,0,0,0,0,0,0,0,0,0,0,239,1,0,0,0,0,0,0,0,0,0,"49,264","41,465","7,786",0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"24,524",0,"1,988","3,420",849,"9,809","5,112",0,0,0,"3,346",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,826","6,997",0,0,0,829,0,0,0,0,0,0,0,0,0,0,0,"1,635,470","817,785"
98 (2009),9,"552,429","151,704","155,012","51,663","87,727","23,423",906,"17,761","19,527","11,134","9,149","6,820",0,"13,932","2,770",164,508,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,41,1,0,0,28,0,"45,887","38,398","7,478",0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"20,551",0,"2,109","2,973","1,022","6,272","4,856",0,0,161,"3,158",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,412","5,102",0,0,0,"1,293",8,395,0,0,0,0,0,0,0,0,0,"1,250,944","625,834"
98 (2009),10,"673,435","187,493","196,436","62,155","101,227","32,726",871,"20,800","22,602","12,349","9,904","6,604",135,"16,457","2,406",0,972,0,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,"40,084","36,248","3,824",0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"19,502",0,"1,916","2,912",746,"5,884","4,429",0,0,0,"3,614",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,341","6,660",0,0,0,"1,681",0,849,0,0,0,0,0,0,0,0,0,"1,483,572","742,345"
98 (2009),11,"598,386","162,237","170,981","61,226","85,265","27,506",562,"21,527","24,616","10,633","7,978","7,081",1,"13,313","3,521",0,"1,363",114,421,0,0,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0,2,0,0,0,27,"38,627","35,831","2,784",0,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-,0,0,0,"16,194",0,"1,755","2,245",721,"5,181","3,444",0,0,0,"2,847",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"7,164","5,635",0,0,0,"1,527",0,609,0,0,0,0,0,0,0,0,0,"1,321,351","661,050"
98 (2009),12,"598,172","173,465","159,354","59,889","77,663","29,388",919,"25,071","25,165","10,718","7,762","6,561",0,"15,227","4,864",0,"1,570",62,388,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,"42,031","38,210","3,815",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"16,954",0,"1,731","1,744",207,"6,930","3,554",0,0,96,"2,507",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,183,0,"7,368","6,347",0,0,0,"1,021",0,983,0,0,0,0,0,0,0,0,0,"1,330,033","665,603"
99 (2010),1,"646,818","180,195","158,962","58,339","92,832","36,008",633,"24,861","30,207","17,641","13,261","8,077",0,"17,916","6,362",0,"1,280",0,213,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,2,0,0,0,1,"54,596","49,994","4,597",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"18,844",0,"1,962","2,571",276,"7,609","3,985",1,0,0,"2,085",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355,0,"10,447","8,003",491,2,0,"1,951",0,821,0,0,0,0,0,0,0,4,0,"1,462,235","731,609"
99 (2010),2,"754,800","212,642","187,503","56,416","107,985","38,938",465,"33,086","36,083","19,219","17,953","12,750",689,"21,330","5,537",0,"1,462",0,949,0,0,0,0,700,0,0,0,0,0,0,8,0,0,"1,085",0,0,0,0,0,0,0,"51,955","47,486","4,467",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"19,428",0,"2,064","3,093",911,"6,285","4,088",0,0,0,"2,545",0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,426,0,"11,457","8,800",485,0,0,"2,172",0,1,0,0,0,0,0,0,0,0,0,"1,675,281","837,946"
99 (2010),3,"651,289","177,922","178,792","60,801","91,243","27,860",396,"26,440","28,077","15,283","13,208","8,805",0,"14,880","5,342",0,"1,464",0,505,0,0,0,0,0,0,0,0,0,270,0,0,0,0,0,0,0,1,0,0,0,0,"41,725","37,324","4,396",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"17,764",0,"1,850","2,544",962,"6,060","2,929",0,0,0,"2,912",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,506,0,"6,863","5,585",0,0,0,"1,276",0,0,0,0,0,0,0,0,0,0,0,"1,435,279","717,854"
99 (2010),4,"683,094","191,960","183,895","59,552","112,939","33,407",560,"24,277","17,190","15,050","13,454","8,552",0,"14,388","4,316",0,"1,322",0,"1,555",0,0,0,0,358,0,0,0,0,200,0,0,0,0,0,0,0,2,0,0,0,101,"37,793","32,496","5,294",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"15,539",0,"1,651","2,287","1,059","3,232","4,516",0,0,0,"2,568",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,0,"7,387","6,189",0,0,0,"1,193",1,0,0,0,0,0,0,0,0,0,0,"1,487,605","743,940"
99 (2010),5,"704,776","199,976","194,184","55,260","124,151","33,033",107,"25,083","11,704","15,991","12,142","9,779",19,"16,770","4,212",0,"1,113",0,511,0,0,0,0,646,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,"39,447","34,609","4,834",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"16,337",0,"2,202","2,695","1,654","3,776","3,301",0,0,0,"2,708",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,394","5,201",0,20,0,"1,173",0,0,0,0,0,0,0,0,0,0,0,"1,533,815","767,294"
99 (2010),6,"735,845","202,330","206,639","57,289","126,779","33,480",127,"25,192","16,231","18,274","11,760","14,033",6,"17,018","3,596",0,"1,126",0,"1,118",0,0,0,0,619,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,227,"44,068","37,782","6,281",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"19,474",0,"2,431","2,704","1,719","6,023","4,036",1,0,0,"2,559",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"7,408","6,102",0,0,0,"1,306",0,0,0,0,0,0,0,0,0,0,0,"1,613,590","806,972"
99 (2010),7,"902,724","233,849","245,672","61,573","165,949","36,160",972,"32,897","33,198","36,044","19,005","16,741",0,"12,294","4,906",94,"1,176",0,"1,864",0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,0,0,0,0,0,0,134,"54,084","46,634","7,438",0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"17,502",0,"2,270","3,083",611,"5,548","4,010",0,0,118,"1,861",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12,227","8,836",21,0,0,"3,301",0,1,0,0,0,0,0,0,1,0,0,"1,973,006","987,584"
99 (2010),8,"809,514","214,189","230,310","56,882","132,060","38,729","1,191","25,259","33,400","21,616","16,786","15,747",0,"16,960","4,594",0,"1,124",0,505,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,"49,699","42,147","7,552",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"16,122",0,"1,982","2,775",421,"4,545","3,834",0,0,109,"2,454",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,694","5,547",0,0,0,"2,146",0,286,0,0,286,0,0,0,0,0,0,"1,766,580","883,581"
99 (2010),9,"726,845","182,089","211,806","51,637","117,009","32,058","1,731","23,724","42,919","15,372","13,483","14,268",0,"14,646","4,647",0,669,0,769,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,8,"37,396","30,230","6,946",0,9,0,8,1,0,0,0,0,0,0,0,0,0,202,0,0,0,-,0,0,0,"10,747",0,"2,571","3,434",0,335,"2,052",0,0,0,"2,355",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,586","5,808",0,0,0,"1,768",0,1,0,0,0,0,0,0,0,0,0,"1,565,139","782,978"
99 (2010),10,"746,365","192,302","221,683","51,773","120,290","38,939","1,425","24,025","36,933","13,724","13,318","12,584",0,"13,415","4,625",0,877,120,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"32,082","27,633","4,439",0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"9,574",0,"2,427","3,289",0,0,"1,194",0,0,448,"2,216",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,954","5,506",0,0,0,"1,448",0,0,0,0,0,0,0,0,0,0,0,"1,589,950","795,114"
99 (2010),11,"642,149","155,861","202,693","47,571","97,209","33,968",751,"23,351","31,542","12,795","11,294","9,126",0,"10,812","4,050",0,860,0,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,"28,867","26,005","2,853",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"6,293",0,"1,241","2,288",106,217,"1,033",0,0,244,"1,054",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,494","4,285",0,0,0,"1,209",0,0,0,0,0,0,0,0,0,0,0,"1,365,496","682,970"
99 (2010),12,"638,458","165,318","202,103","50,817","89,511","23,710",892,"25,792","32,590","11,500","10,462","9,300",0,"9,416","4,891",0,"1,624",0,530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,"27,806","23,893","3,905",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"4,781",0,"1,309","1,212",0,325,"1,164",0,0,0,764,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,"5,934","4,925",0,0,0,"1,008",0,0,0,0,0,0,0,0,0,0,0,"1,353,954","677,232"
100 (2011),1,"628,836","150,640","167,085","39,451","109,762","24,875",969,"25,904","39,009","16,958","17,419","13,318",215,"14,838","6,105",53,"1,785",0,220,0,0,0,0,0,111,0,0,0,0,0,0,0,117,0,0,0,2,0,0,111,0,"42,462","36,765","5,691",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"8,804",0,"1,614","2,540",399,"1,339","1,339",0,0,30,"1,443",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,332","6,935",440,0,0,"2,846",0,136,0,0,0,0,0,0,0,0,0,"1,381,004","690,743"
100 (2011),2,"746,318","200,974","236,262","48,772","98,987","24,517",515,"29,347","31,637","16,503","16,275","14,589",439,"18,613","6,901",7,"1,605",0,234,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,40,2,"31,627","28,027","3,590",0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-,0,0,0,"18,617",0,"2,241","2,537",285,"7,432","3,627",0,0,309,"1,888",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298,0,"8,061","4,924","1,526",0,0,"1,611",0,2,0,0,0,0,0,0,2,0,0,"1,609,250","804,856"
100 (2011),3,"606,326","156,827","210,319","45,740","47,959","24,661",486,"23,816","31,070","15,729","12,533","12,888",3,"15,320","6,248",0,"2,087",0,265,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,11,0,279,82,"32,614","27,417","4,889",0,0,0,7,0,0,0,7,0,0,0,0,0,0,294,0,0,0,-,0,0,0,"21,929",0,"2,377","2,590",798,"8,784","3,919",0,0,27,"3,056",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,155,"5,729","3,017","1,273",0,0,"1,433",0,0,0,0,0,0,0,0,0,0,0,"1,333,171","667,160"
100 (2011),4,"690,567","194,703","233,533","53,402","47,144","31,442",663,"26,635","32,118","16,753","15,639","13,073",56,"17,564","6,188",87,"1,079",0,237,0,0,0,0,249,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"33,641","27,607","6,022",0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,1,0,"20,814",0,"2,211","2,664",866,"8,282","3,001",0,0,413,"2,875",0,1,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,261,0,"7,390","3,866","1,077",7,0,"2,438",0,0,0,0,0,0,0,0,0,0,0,"1,504,822","752,558"
