Y_M,Country,Cases,YMD
2009-6,Iraq,1,2009-06-01
2009-6,Israel,414,2009-06-01
2009-6,Japan,691,2009-06-01
2009-6,Jordan,0,2009-06-01
2009-6,Kazakhstan,0,2009-06-01
2009-6,Kyrgyzstan,0,2009-06-01
2009-6,Lao People's Democratic Republic,0,2009-06-01
2009-6,Malaysia,1,2009-06-01
2009-6,Mongolia,0,2009-06-01
2009-6,Nepal,0,2009-06-01
2009-6,Oman,0,2009-06-01
2009-6,Pakistan,1,2009-06-01
2009-6,Philippines,988,2009-06-01
2009-6,Qatar,0,2009-06-01
2009-6,Republic of Korea,140,2009-06-01
2009-6,Singapore,195,2009-06-01
2009-6,Sri Lanka,13,2009-06-01
2009-6,Syrian Arab Republic,0,2009-06-01
2009-6,Thailand,30,2009-06-01
2009-6,Turkey,8,2009-06-01
2009-6,Viet Nam,0,2009-06-01
2009-7,Afghanistan,0,2009-07-01
2009-7,Armenia,0,2009-07-01
2009-7,Azerbaijan,0,2009-07-01
2009-7,Bahrain,0,2009-07-01
2009-7,Bangladesh,0,2009-07-01
2009-7,Bhutan,0,2009-07-01
2009-7,Cambodia,13,2009-07-01
2009-7,China,2038,2009-07-01
2009-7,Georgia,2,2009-07-01
2009-7,India,113,2009-07-01
2009-7,Indonesia,0,2009-07-01
2009-7,Iran (Islamic Republic of),46,2009-07-01
2009-7,Iraq,19,2009-07-01
2009-7,Israel,995,2009-07-01
2009-7,Japan,1176,2009-07-01
2009-7,Jordan,0,2009-07-01
2009-7,Kazakhstan,0,2009-07-01
2009-7,Kyrgyzstan,0,2009-07-01
2009-7,Lao People's Democratic Republic,0,2009-07-01
2009-7,Malaysia,17,2009-07-01
2009-7,Mongolia,0,2009-07-01
2009-7,Nepal,0,2009-07-01
2009-7,Oman,0,2009-07-01
2009-7,Pakistan,0,2009-07-01
2009-7,Philippines,2375,2009-07-01
2009-7,Qatar,0,2009-07-01
2009-7,Republic of Korea,868,2009-07-01
2009-7,Singapore,1785,2009-07-01
2009-7,Sri Lanka,42,2009-07-01
2009-7,Syrian Arab Republic,0,2009-07-01
2009-7,Thailand,139,2009-07-01
2009-7,Turkey,15,2009-07-01
2009-7,Viet Nam,9,2009-07-01
2009-8,Afghanistan,0,2009-08-01
2009-8,Armenia,0,2009-08-01
2009-8,Azerbaijan,0,2009-08-01
2009-8,Bahrain,0,2009-08-01
2009-8,Bangladesh,0,2009-08-01
2009-8,Bhutan,0,2009-08-01
2009-8,Cambodia,23,2009-08-01
2009-8,China,25,2009-08-01
2009-8,Georgia,14,2009-08-01
2009-8,India,1430,2009-08-01
2009-8,Indonesia,0,2009-08-01
2009-8,Iran (Islamic Republic of),171,2009-08-01
2009-8,Iraq,0,2009-08-01
2009-8,Israel,1445,2009-08-01
2009-8,Japan,748,2009-08-01
2009-8,Jordan,0,2009-08-01
