T_Y,Y_M,Ch_Country,Country,Cases,YMD
101,2012-8,香港,Hong,185595,2012-08-01
101,2012-9,香港,Hong,157013,2012-09-01
101,2012-10,香港,Hong,181475,2012-10-01
101,2012-11,香港,Hong,149827,2012-11-01
101,2012-12,香港,Hong,161999,2012-12-01
102,2013-1,香港,Hong,153216,2013-01-01
102,2013-2,香港,Hong,200670,2013-02-01
102,2013-3,香港,Hong,149360,2013-03-01
102,2013-4,香港,Hong,180319,2013-04-01
102,2013-5,香港,Hong,146183,2013-05-01
102,2013-6,香港,Hong,174775,2013-06-01
102,2013-7,香港,Hong,190939,2013-07-01
102,2013-8,香港,Hong,184125,2013-08-01
102,2013-9,香港,Hong,166244,2013-09-01
102,2013-10,香港,Hong,183024,2013-10-01
102,2013-11,香港,Hong,151802,2013-11-01
102,2013-12,香港,Hong,158075,2013-12-01
103,2014-1,香港,Hong,151349,2014-01-01
103,2014-2,香港,Hong,189882,2014-02-01
103,2014-3,香港,Hong,148230,2014-03-01
103,2014-4,香港,Hong,158636,2014-04-01
103,2014-5,香港,Hong,170816,2014-05-01
103,2014-6,香港,Hong,190489,2014-06-01
103,2014-7,香港,Hong,198986,2014-07-01
103,2014-8,香港,Hong,185035,2014-08-01
103,2014-9,香港,Hong,160392,2014-09-01
103,2014-10,香港,Hong,173328,2014-10-01
103,2014-11,香港,Hong,137070,2014-11-01
103,2014-12,香港,Hong,153916,2014-12-01
104,2015-1,香港,Hong,150728,2015-01-01
104,2015-2,香港,Hong,150888,2015-02-01
104,2015-3,香港,Hong,167656,2015-03-01
104,2015-4,香港,Hong,164119,2015-04-01
104,2015-5,香港,Hong,163570,2015-05-01
104,2015-6,香港,Hong,183219,2015-06-01
104,2015-7,香港,Hong,191439,2015-07-01
104,2015-8,香港,Hong,185245,2015-08-01
104,2015-9,香港,Hong,156391,2015-09-01
104,2015-10,香港,Hong,182691,2015-10-01
104,2015-11,香港,Hong,153177,2015-11-01
104,2015-12,香港,Hong,159030,2015-12-01
105,2016-1,香港,Hong,160042,2016-01-01
105,2016-2,香港,Hong,180189,2016-02-01
105,2016-3,香港,Hong,143266,2016-03-01
105,2016-4,香港,Hong,170906,2016-04-01
105,2016-5,香港,Hong,161537,2016-05-01
105,2016-6,香港,Hong,187887,2016-06-01
105,2016-7,香港,Hong,165958,2016-07-01
105,2016-8,香港,Hong,158045,2016-08-01
105,2016-9,香港,Hong,146963,2016-09-01
105,2016-10,香港,Hong,147329,2016-10-01
105,2016-11,香港,Hong,133372,2016-11-01
105,2016-12,香港,Hong,147153,2016-12-01
106,2017-1,香港,Hong,130856,2017-01-01
106,2017-2,香港,Hong,172217,2017-02-01
106,2017-3,香港,Hong,140205,2017-03-01
106,2017-4,香港,Hong,142568,2017-04-01
106,2017-5,香港,Hong,151960,2017-05-01
106,2017-6,香港,Hong,150348,2017-06-01
106,2017-7,香港,Hong,160617,2017-07-01
106,2017-8,香港,Hong,154977,2017-08-01
106,2017-9,香港,Hong,128041,2017-09-01
106,2017-10,香港,Hong,158145,2017-10-01
97,2008-1,中國大陸,China,374,2008-01-01
97,2008-2,中國大陸,China,14537,2008-02-01
97,2008-3,中國大陸,China,0,2008-03-01
97,2008-4,中國大陸,China,2370,2008-04-01
97,2008-5,中國大陸,China,37,2008-05-01
97,2008-6,中國大陸,China,2999,2008-06-01
97,2008-7,中國大陸,China,21949,2008-07-01
97,2008-8,中國大陸,China,28335,2008-08-01
97,2008-9,中國大陸,China,25663,2008-09-01
97,2008-10,中國大陸,China,26310,2008-10-01
97,2008-11,中國大陸,China,22575,2008-11-01
97,2008-12,中國大陸,China,43595,2008-12-01
98,2009-1,中國大陸,China,62464,2009-01-01
98,2009-2,中國大陸,China,77591,2009-02-01
98,2009-3,中國大陸,China,70080,2009-03-01
98,2009-4,中國大陸,China,118464,2009-04-01
98,2009-5,中國大陸,China,116050,2009-05-01
98,2009-6,中國大陸,China,113513,2009-06-01
98,2009-7,中國大陸,China,141198,2009-07-01
98,2009-8,中國大陸,China,134944,2009-08-01
98,2009-9,中國大陸,China,155012,2009-09-01
98,2009-10,中國大陸,China,196436,2009-10-01
98,2009-11,中國大陸,China,170981,2009-11-01
98,2009-12,中國大陸,China,159354,2009-12-01
99,2010-1,中國大陸,China,158962,2010-01-01
99,2010-2,中國大陸,China,187503,2010-02-01
99,2010-3,中國大陸,China,178792,2010-03-01
99,2010-4,中國大陸,China,183895,2010-04-01
99,2010-5,中國大陸,China,194184,2010-05-01
99,2010-6,中國大陸,China,206639,2010-06-01
99,2010-7,中國大陸,China,245672,2010-07-01
99,2010-8,中國大陸,China,230310,2010-08-01
99,2010-9,中國大陸,China,211806,2010-09-01
99,2010-10,中國大陸,China,221683,2010-10-01
99,2010-11,中國大陸,China,202693,2010-11-01
99,2010-12,中國大陸,China,202103,2010-12-01
100,2011-1,中國大陸,China,167085,2011-01-01
100,2011-2,中國大陸,China,236262,2011-02-01
100,2011-3,中國大陸,China,210319,2011-03-01
100,2011-4,中國大陸,China,233533,2011-04-01
100,2011-5,中國大陸,China,249428,2011-05-01
100,2011-6,中國大陸,China,248982,2011-06-01
100,2011-7,中國大陸,China,278164,2011-07-01
100,2011-8,中國大陸,China,255751,2011-08-01
100,2011-9,中國大陸,China,247501,2011-09-01
100,2011-10,中國大陸,China,261650,2011-10-01
100,2011-11,中國大陸,China,242208,2011-11-01
100,2011-12,中國大陸,China,215689,2011-12-01
101,2012-1,中國大陸,China,258728,2012-01-01
101,2012-2,中國大陸,China,248837,2012-02-01
101,2012-3,中國大陸,China,236894,2012-03-01
101,2012-4,中國大陸,China,266709,2012-04-01
101,2012-5,中國大陸,China,272775,2012-05-01
101,2012-6,中國大陸,China,268283,2012-06-01
101,2012-7,中國大陸,China,296306,2012-07-01
101,2012-8,中國大陸,China,271159,2012-08-01
101,2012-9,中國大陸,China,247490,2012-09-01
101,2012-10,中國大陸,China,292306,2012-10-01
101,2012-11,中國大陸,China,250231,2012-11-01
101,2012-12,中國大陸,China,229337,2012-12-01
102,2013-1,中國大陸,China,206418,2013-01-01
102,2013-2,中國大陸,China,263527,2013-02-01
102,2013-3,中國大陸,China,244035,2013-03-01
102,2013-4,中國大陸,China,246156,2013-04-01
102,2013-5,中國大陸,China,230912,2013-05-01
102,2013-6,中國大陸,China,247929,2013-06-01
102,2013-7,中國大陸,China,284747,2013-07-01
102,2013-8,中國大陸,China,283375,2013-08-01
102,2013-9,中國大陸,China,271078,2013-09-01
102,2013-10,中國大陸,China,300871,2013-10-01
102,2013-11,中國大陸,China,258093,2013-11-01
102,2013-12,中國大陸,China,235186,2013-12-01
103,2014-1,中國大陸,China,198382,2014-01-01
103,2014-2,中國大陸,China,279792,2014-02-01
103,2014-3,中國大陸,China,241546,2014-03-01
103,2014-4,中國大陸,China,275713,2014-04-01
103,2014-5,中國大陸,China,282707,2014-05-01
103,2014-6,中國大陸,China,302067,2014-06-01
103,2014-7,中國大陸,China,312254,2014-07-01
103,2014-8,中國大陸,China,296364,2014-08-01
103,2014-9,中國大陸,China,269049,2014-09-01
103,2014-10,中國大陸,China,302986,2014-10-01
103,2014-11,中國大陸,China,248285,2014-11-01
103,2014-12,中國大陸,China,258093,2014-12-01
104,2015-1,中國大陸,China,240112,2015-01-01
104,2015-2,中國大陸,China,230305,2015-02-01
104,2015-3,中國大陸,China,297043,2015-03-01
104,2015-4,中國大陸,China,295645,2015-04-01
104,2015-5,中國大陸,China,297885,2015-05-01
104,2015-6,中國大陸,China,294294,2015-06-01
104,2015-7,中國大陸,China,315481,2015-07-01
104,2015-8,中國大陸,China,299750,2015-08-01
104,2015-9,中國大陸,China,271600,2015-09-01
104,2015-10,中國大陸,China,318599,2015-10-01
104,2015-11,中國大陸,China,286248,2015-11-01
104,2015-12,中國大陸,China,256958,2015-12-01
105,2016-1,中國大陸,China,241113,2016-01-01
105,2016-2,中國大陸,China,298798,2016-02-01
105,2016-3,中國大陸,China,270766,2016-03-01
105,2016-4,中國大陸,China,306441,2016-04-01
105,2016-5,中國大陸,China,315102,2016-05-01
105,2016-6,中國大陸,China,321257,2016-06-01
105,2016-7,中國大陸,China,346297,2016-07-01
105,2016-8,中國大陸,China,331005,2016-08-01
105,2016-9,中國大陸,China,312406,2016-09-01
105,2016-10,中國大陸,China,345004,2016-10-01
105,2016-11,中國大陸,China,312770,2016-11-01
105,2016-12,中國大陸,China,284518,2016-12-01
106,2017-1,中國大陸,China,244084,2017-01-01
106,2017-2,中國大陸,China,328059,2017-02-01
106,2017-3,中國大陸,China,306038,2017-03-01
106,2017-4,中國大陸,China,341117,2017-04-01
106,2017-5,中國大陸,China,348528,2017-05-01
106,2017-6,中國大陸,China,353085,2017-06-01
106,2017-7,中國大陸,China,362466,2017-07-01
106,2017-8,中國大陸,China,347289,2017-08-01
106,2017-9,中國大陸,China,302646,2017-09-01
106,2017-10,中國大陸,China,363094,2017-10-01
97,2008-1,澳門,Macao,69871,2008-01-01
97,2008-2,澳門,Macao,95056,2008-02-01
97,2008-3,澳門,Macao,85057,2008-03-01
97,2008-4,澳門,Macao,99568,2008-04-01
97,2008-5,澳門,Macao,85157,2008-05-01
97,2008-6,澳門,Macao,78382,2008-06-01
97,2008-7,澳門,Macao,77167,2008-07-01
